donor,recipient,commitment_amount_usd_constant,coalesced_purpose_name
Spain,Brazil,16468,Mineral prospection and exploration
Spain,Brazil,9161,Basic drinking water supply and basic sanitation
Spain,Brazil,15602,Medical services
Spain,Brazil,32415,Environmental policy and administrative management
Spain,Brazil,211405,Technological research and development
Spain,Brazil,211405,Vocational training
Spain,Brazil,32089,Teacher training
Spain,Brazil,32415,Tourism policy and administrative management
Spain,Brazil,28187,Education facilities and training
Spain,Brazil,32415,Higher education
Spain,Brazil,4932776,Agricultural policy and administrative management
Spain,Brazil,5226,Technological research & development
Spain,Brazil,16208,Legal and judicial development
Spain,Brazil,112495,Environmental policy and administrative management
Spain,Brazil,15751,Technological research & development
Spain,Brazil,15602,Technological research & development
Spain,Brazil,105732,Culture and recreation
Spain,Brazil,12402,Higher education
Spain,Brazil,15602,Higher education
Spain,Brazil,84562,Social/ welfare services
Spain,Brazil,62490,Employment policy and administrative management
Spain,Brazil,2114,Urban development and management
Spain,Brazil,117879,Strengthening civil society
Spain,Brazil,114741,Basic life skills for youth and adults
Spain,Brazil,165674,Strengthening civil society
Spain,Brazil,75119,Construction policy and administrative management
Spain,Brazil,67649,Business support services and institutions
Spain,Brazil,84562,Industrial development
Spain,Brazil,19820,Educational research
Spain,Brazil,51044,Educational research
Spain,Brazil,157032,Legal and judicial development
Spain,Brazil,22550,Legal and judicial development
Spain,Brazil,17472,Social/ welfare services
Spain,Brazil,5074,Social/ welfare services
Spain,Brazil,1973110,Strengthening civil society
Spain,Brazil,36277,Advanced technical and managerial training
Spain,Brazil,18420,Information and communication technology
Spain,Brazil,5074,Information and communication technology
Spain,Brazil,2349,Basic life skills for youth and adults
Spain,Brazil,7991,Agricultural education/training
Spain,Brazil,142281,Education facilities and training
Spain,Brazil,140936,Environmental policy and administrative management
Spain,Brazil,359388,Social/ welfare services
Spain,Brazil,563746,Rural development
Spain,Brazil,845618,Strengthening civil society
Spain,Brazil,504084,Legal and judicial development
Spain,Brazil,75290,Housing policy and administrative management
Spain,Brazil,35234,Housing policy and administrative management
Spain,Brazil,493278,Strengthening civil society
Spain,Brazil,181392,Environmental policy and administrative management
Spain,Brazil,5074,Educational research
Spain,Brazil,15602,Educational research
Spain,Brazil,23388,Culture and recreation
Spain,Brazil,20802,Culture and recreation
Spain,Brazil,5074,Agricultural education/training
Spain,Brazil,10401,Communications policy & admin. mgmt
Spain,Brazil,18420,Communications policy & admin. mgmt
Spain,Brazil,107112,Support to international NGOs
Spain,Brazil,18275,Trade policy and administrative management
Spain,Brazil,10147,Educational research
Spain,Brazil,15602,Educational research
Spain,Brazil,4428,Sectors not specified
Spain,Brazil,90920,Vocational training
Spain,Brazil,361665,Energy education/training
Spain,Brazil,26637,"Other social infrastructure and services, education and training"
Spain,Brazil,125433,"Agricultural services, purpose"
Spain,Brazil,64589,Employment policy and administrative management
Spain,Brazil,96549,Education policy and administrative management
Spain,Brazil,17690,Multisector education/training
Spain,Brazil,12046,Agricultural education/training
Spain,Brazil,705,Multisector education/training
Spain,Brazil,5074,Social/ welfare services
Spain,Brazil,19590,Infectious & Parasitic disease control
Spain,Brazil,9866,Vocational training
Spain,Brazil,2297,Tourism policy and administrative management
Spain,Brazil,14347,Medical research
Spain,Brazil,21140,Social/ welfare services
Spain,Brazil,38814,Social/ welfare services
Spain,Brazil,15602,Social/ welfare services
Spain,Brazil,28187,Emergency food aid
Spain,Brazil,17435,Social/ welfare services
Spain,Brazil,270602,Education facilities and training
Spain,Brazil,98061,Higher education
Spain,Brazil,5074,Culture and recreation
Spain,Brazil,15602,Culture and recreation
Spain,Brazil,211405,Vocational training
Spain,Brazil,15602,Social/welfare services
Spain,Brazil,15602,Social/ welfare services
Spain,Brazil,7329,Education/trng in banking & fin. services
Spain,Brazil,132182,Higher education
Spain,Brazil,16478,Public sector policy and adm. management
Spain,Brazil,53105,Public sector policy and adm. management
Spain,Brazil,5074,Forestry research
Spain,Brazil,7611,Medical research
Spain,Brazil,23593,Medical research
Spain,Brazil,27060,Livestock
Spain,Brazil,15602,Culture and recreation
Spain,Brazil,5074,Culture and recreation
Spain,Brazil,15602,Culture and recreation
Spain,Brazil,42281,Social/ welfare services
Spain,Brazil,2177,Trade policy and administrative management
Spain,Brazil,63421,Promotion of development awareness
Spain,Brazil,46979,Bio-diversity
Spain,Brazil,7329,Culture and recreation
Spain,Brazil,5074,Teacher training
Spain,Brazil,15602,Teacher training
Spain,Brazil,5074,Environmental policy and admin. mgmt
Spain,Brazil,15602,Environmental policy and admin. mgmt
Spain,Brazil,5074,Environmental policy and admin. mgmt
Spain,Brazil,27655,Environmental policy and admin. mgmt
Spain,Brazil,5074,Culture and recreation
Spain,Brazil,15602,Culture and recreation
Spain,Brazil,284765,Sectors not specified
Spain,Brazil,19590,Multisector education/training
Spain,Brazil,5074,Health policy & admin. management
Spain,Brazil,3382,Education/trng in banking & fin. services
Spain,Brazil,31203,Education/trng in banking & fin. services
Spain,Brazil,7329,Energy education/training
Spain,Brazil,6085,Multisector education/training
Spain,Brazil,5074,Medical research
Spain,Brazil,15602,Medical research
Spain,Brazil,5074,Multisector education/training
Spain,Brazil,15602,Multisector education/training
Spain,Brazil,14996,Social/ welfare services
Spain,Brazil,7329,Social/ welfare services
Spain,Brazil,5074,Economic and development policy/planning
Spain,Brazil,15602,Economic and development policy/planning
Spain,Brazil,15602,Education/trng in banking & fin. services
Spain,Brazil,5074,Education/trng in banking & fin. services
Spain,Brazil,65225,Social/ welfare services
Spain,Brazil,10147,Social/ welfare services
Spain,Brazil,7939,Higher education
Spain,Brazil,19731,Social/ welfare services
Spain,Brazil,1734,Social/ welfare services
Spain,Brazil,31203,Multisector education/training
Spain,Brazil,15602,Medical education/training
Spain,Brazil,9866,Social/ welfare services
Spain,Brazil,16862,Social/ welfare services
Spain,Brazil,5074,Medical research
Spain,Brazil,15602,Medical research
Spain,Brazil,1762,Environmental policy and admin. mgmt
Spain,Brazil,15602,Economic and development policy/planning
Spain,Brazil,5074,Multisector education/training
Spain,Brazil,5074,Social/ welfare services
Spain,Brazil,20288,Multisector education/training
Spain,Brazil,14996,Culture and recreation
Spain,Brazil,114466,Biosphere protection
Spain,Brazil,11909,Social/ welfare services
Spain,Brazil,55044,Strengthening civil society
Spain,Brazil,143755,Employment policy and administrative management
Spain,Brazil,7687,Multisector education/training
Spain,Brazil,8456,Promotion of development awareness
Spain,Brazil,212883,Strengthening civil society
Spain,Brazil,1503673,Education facilities and training
Spain,Brazil,5637,Social/ welfare services
Spain,Brazil,25369,"Agricultural services, purpose"
Spain,Brazil,352341,Environmental policy and administrative management
Spain,Brazil,7540,Higher education
Spain,Brazil,16208,Social/welfare services
Spain,Brazil,23255,Advanced technical and managerial training
Spain,Brazil,22409,Environmental policy and administrative management
Spain,Brazil,32415,Strengthening civil society
Spain,Brazil,7047,Bio-diversity
Spain,Brazil,320892,Education facilities and training
Spain,Brazil,61213,Legal and judicial development
Spain,Brazil,10147,Legal and judicial development
Spain,Brazil,145736,Economic and development policy/planning
Spain,Brazil,11909,Tourism policy and admin. management
Spain,Brazil,7329,Culture and recreation
Spain,Brazil,36643,Agricultural research
Spain,Brazil,18420,Agricultural research
Spain,Brazil,18226,Culture and recreation
Spain,Brazil,15602,Environmental research
Spain,Brazil,140936,Social/ welfare services
Spain,Brazil,1174,Medical research
Spain,Brazil,41153,Legal and judicial development
Spain,Brazil,60589,Legal and judicial development
Spain,Brazil,12135,Advanced technical and managerial training
Spain,Brazil,10401,Multisector education/training
Spain,Brazil,7582,Economic and development policy/planning
Spain,Brazil,7752,Environmental education/ training
Spain,Brazil,28845247,River development
Spain,Brazil,5074,Social/ welfare services
Spain,Chile,21775,Multisector education/training
